"Wavelength","Absorbance","v'"
513.3964571,0.611750509,44
514.430489,0.605009563,43
515.7064497,0.605218015,42
516.9202398,0.629327983,41
518.1932382,0.65587746,40
519.5252282,0.667322841,39
521.0368318,0.66389606,38
522.4859482,0.681608861,37
524.053588,0.702563196,36
525.6189019,0.698809219,35
527.4221432,0.714809994,34
529.1023747,0.723064099,33
530.9594846,0.7059226,32
532.8132882,0.720041076,31
534.8426902,0.694219029,30
536.8086003,0.702660623,29
538.9489564,0.700222834,28
541.2033837,0.723923536,27
543.4528427,0.729704922,26
545.8153271,0.694257074,25
548.290011,0.683009718,24
550.7586257,0.647076454,23
553.3382839,0.602877539,22
556.0864702,0.566537109,21
558.8852841,0.516760874,20
561.7922857,0.470042291,19
564.690686,0.430562738,18
567.7535991,0.393455964,17
570.8643633,0.352617612,16
574.1370634,0.307663358,15
577.4557049,0.273981461,14
