"Wavelength","Absorbance","v'"
525.7993654,0.181052889,35
527.4821979,0.183574777,34
529.1623331,0.183484902,33
530.9594846,0.181242999,32
532.992513,0.18351443,31
534.9023183,0.180783187,30
536.927626,0.181052998,29
539.0677343,0.188372888,28
541.3219001,0.180366143,27
543.5710977,0.175267128,26
545.8743187,0.173341122,25
548.348858,0.167381282,24
550.8760274,0.162608452,23
553.4553828,0.156395585,22
556.1448597,0.154066003,21
558.9435084,0.142807791,20
561.7922857,0.135716501,19
564.7485662,0.126077319,18
