Wavelength,roomT1min1,roomT5min1,roomT5min2
550.4650612,0.123153118,0.127471086,0.129728876
550.523781,0.123866994,0.127430375,0.129592785
550.5824973,0.126619703,0.130022507,0.131130851
550.6412102,0.132260791,0.135806076,0.137052297
550.6999197,0.14119133,0.144935346,0.145941906
550.7586257,0.151406947,0.155587992,0.156064993
550.8173283,0.158612069,0.161953346,0.16216061
550.8760274,0.160090875,0.16267323,0.162608452
550.9347231,0.158898301,0.161588046,0.161539403
550.9934153,0.156927626,0.160516675,0.160642828
551.0521041,0.15467525,0.158980605,0.158795082
551.1107895,0.153879843,0.157333954,0.157446328
551.1694714,0.150598258,0.153541264,0.154098142
551.2281499,0.148287935,0.150311892,0.1510526
551.2868249,0.14682496,0.147951549,0.148413609
551.3454965,0.1448659,0.146430089,0.146691169
551.4041647,0.142391087,0.144116257,0.144465695
551.4628294,0.140429204,0.143132596,0.143166625
551.5214907,0.138232979,0.141533567,0.141505723
551.5801485,0.136367759,0.140913765,0.141147632
551.6388029,0.135690786,0.139516585,0.14015315
551.6974539,0.134415178,0.13828694,0.139200407
551.7561014,0.133491844,0.1383673,0.140172995
551.8147455,0.13278946,0.137653749,0.139484404
551.8733861,0.131261199,0.136246319,0.137767857
551.9320233,0.129155686,0.135061192,0.136614899
551.9906571,0.127777656,0.133436968,0.134785566
552.0492874,0.127196205,0.132384644,0.133307857
552.1079143,0.127479671,0.13220242,0.132958312
552.1665377,0.130832532,0.134444599,0.135565901
552.2251577,0.134279229,0.136287565,0.137603304
552.2837743,0.135278866,0.137835621,0.13927567
552.3423874,0.135487014,0.137156611,0.138869926
552.4009971,0.133633746,0.135725259,0.1382056
552.4596033,0.132158251,0.134366753,0.136541829
552.5182061,0.131047676,0.132884015,0.134911759
552.5768054,0.130058362,0.130726389,0.133196515
552.6354013,0.128970876,0.129211504,0.13204811
552.6939938,0.128396108,0.128032531,0.130916995
552.7525828,0.127917025,0.128569081,0.130922781
552.8111684,0.126473122,0.12807789,0.130450892
552.8697506,0.124992173,0.1271555,0.129069529
552.9283293,0.12304068,0.125925545,0.127567204
552.9869046,0.121519001,0.124721492,0.12663347
553.0454764,0.119788872,0.123254348,0.125462917
553.1040448,0.120369157,0.123234131,0.125427715
553.1626097,0.121524795,0.123532294,0.126005938
553.2211712,0.124812886,0.126858569,0.128779697
553.2797293,0.13119627,0.133874808,0.135208178
553.3382839,0.140639686,0.143374533,0.144740544
553.3968351,0.149210207,0.152014504,0.152691732
553.4553828,0.152977965,0.156336857,0.156395585
553.5139271,0.153448435,0.155891087,0.156028534
553.572468,0.152028157,0.153812441,0.154816815
553.6310054,0.149811223,0.151102315,0.152852453
553.6895394,0.148368241,0.149732383,0.1517911
553.7480699,0.147959208,0.149352575,0.151642107
553.806597,0.14673556,0.147738515,0.15059069
553.8651207,0.144883478,0.145089258,0.147589389
553.9236409,0.142666935,0.142452133,0.145085758
553.9821577,0.140070644,0.139535428,0.14176129
554.040671,0.13760902,0.138020313,0.140365411
554.0991809,0.135764116,0.136484777,0.139113429
554.1576874,0.134167138,0.135533858,0.138122021
554.2161904,0.131821328,0.134247526,0.1370823
554.27469,0.12974703,0.132405752,0.13563642
554.3331861,0.128360445,0.130716336,0.134046221
554.3916788,0.128389058,0.130079024,0.132945526
554.450168,0.127005561,0.128196402,0.131342716
554.5086538,0.125729873,0.126442676,0.129073411
554.5671362,0.125378101,0.126644831,0.128953957
554.6256151,0.126638884,0.128060228,0.130531695
554.6840906,0.128994754,0.130597788,0.132810347
554.7425627,0.132032136,0.13431924,0.136063123
554.8010313,0.133464037,0.135707845,0.137114072
554.8594965,0.133672152,0.135314022,0.13686898
554.9179582,0.133677693,0.134283977,0.136779746
554.9764165,0.132239037,0.13363599,0.136227853
555.0348713,0.129687101,0.131762076,0.134282544
555.0933227,0.128879012,0.130766872,0.133249109
555.1517707,0.128290787,0.12972212,0.13246518
555.2102152,0.127900768,0.129174202,0.13224609
555.2686563,0.12565343,0.127437009,0.13020957
555.3270939,0.124119709,0.125321155,0.128383252
555.3855281,0.121840473,0.12396044,0.126545854
555.4439589,0.119608817,0.123183212,0.125708236
555.5023862,0.117875509,0.121799856,0.124338888
555.5608101,0.116927519,0.121599921,0.123542594
555.6192306,0.115900621,0.121021772,0.122700306
555.6776476,0.114780742,0.120906229,0.122594538
555.7360611,0.113767341,0.120937872,0.122148507
555.7944712,0.112888141,0.120146719,0.121814126
555.8528779,0.112619193,0.12016407,0.122140575
555.9112812,0.114194768,0.123068211,0.12518145
555.9696809,0.121067399,0.129665093,0.132198485
556.0280773,0.13026303,0.138929822,0.141158668
556.0864702,0.140088553,0.148251363,0.149817729
556.1448597,0.145512652,0.152498097,0.154066003
556.2032457,0.145456433,0.152817908,0.15375461
556.2616283,0.144011666,0.151093858,0.151996345
556.3200075,0.143055885,0.148896076,0.150145518
556.3783832,0.142436829,0.14713161,0.149089544
556.4367555,0.140101204,0.143948547,0.146327728
556.4951243,0.137510872,0.141020858,0.143839247
556.5534897,0.136539949,0.140150357,0.142867797
556.6118516,0.135265544,0.138892058,0.141313782
556.6702101,0.132927457,0.136643951,0.139036943
556.7285652,0.130954103,0.135036305,0.137388946
556.7869168,0.128643119,0.132998522,0.134993873
556.845265,0.127069732,0.130864606,0.13324105
556.9036098,0.125961696,0.128862962,0.131123832
556.9619511,0.124467839,0.12720123,0.129682557
557.020289,0.122397381,0.12443462,0.126753231
557.0786234,0.12215288,0.124262336,0.12649028
557.1369544,0.12317879,0.124355207,0.127066556
557.1952819,0.125094245,0.127385129,0.130052561
557.253606,0.128679253,0.131732848,0.134183426
557.3119267,0.132326697,0.135119711,0.137750478
557.3702439,0.135319281,0.137594811,0.140888348
557.4285577,0.136226886,0.138209365,0.141629275
557.486868,0.134974539,0.136531483,0.13987483
557.5451749,0.133024284,0.134495064,0.138017144
557.6034784,0.130825888,0.131669772,0.135208405
557.6617784,0.129279775,0.130377684,0.133641474
557.720075,0.128049312,0.128686238,0.131528262
557.7783681,0.126428145,0.127682866,0.130504854
557.8366578,0.124740745,0.126015549,0.128474938
557.8949441,0.122743267,0.124134442,0.126402059
557.9532269,0.122225021,0.123057267,0.124841908
558.0115063,0.121540513,0.122440392,0.123928638
558.0697822,0.119595999,0.121905973,0.123758968
558.1280547,0.118449534,0.120558237,0.122433728
558.1863238,0.117949827,0.120115563,0.121581827
558.2445894,0.118423298,0.120181562,0.121534509
558.3028516,0.117856366,0.118951741,0.120066746
558.3611103,0.116276199,0.117685438,0.118448836
558.4193656,0.116047296,0.117438794,0.11779441
558.4776174,0.116183031,0.117283623,0.117878531
558.5358658,0.114991647,0.11628531,0.117299239
558.5941108,0.115454483,0.115910256,0.117266506
558.6523524,0.115693548,0.115579034,0.117022004
558.7105904,0.118539533,0.11831416,0.120175666
558.7688251,0.124712601,0.124348673,0.126213444
558.8270563,0.131779571,0.132332646,0.134410362
558.8852841,0.137494618,0.137950429,0.139620685
558.9435084,0.139523718,0.141128332,0.142807791
559.0017293,0.139058808,0.141215119,0.142734443
559.0599467,0.137255242,0.141276042,0.142911304
559.1181607,0.135388497,0.14057837,0.14246172
559.1763713,0.133290708,0.13898404,0.141021147
559.2345784,0.130824262,0.136322528,0.138542197
559.2927821,0.129279537,0.133994817,0.136563913
559.3509824,0.127258927,0.130798554,0.134004716
559.4091792,0.125682291,0.128353629,0.131403806
559.4673725,0.124777779,0.126202779,0.129408065
559.5255624,0.123421291,0.12545042,0.128456195
