Wavelength,45_5C_Abs,48_5C_Abs,50_0C_Abs
519.8882091,0.442937592,0.622817999,0.523480496
519.9486939,0.438269791,0.614861132,0.513248496
520.0091753,0.431937721,0.595704868,0.503762323
520.0696532,0.42784566,0.593190664,0.497467273
520.1301277,0.421444186,0.598710267,0.49505839
520.1905987,0.421766546,0.589677964,0.490361569
520.2510663,0.413101656,0.57602665,0.482504952
520.3115304,0.404725834,0.564083548,0.472493118
520.3719911,0.396390129,0.546665851,0.462241328
520.4324484,0.394914798,0.547942215,0.457636367
520.4929022,0.383847121,0.525843135,0.443576384
520.5533526,0.370624582,0.512274036,0.427547571
520.6137995,0.376071042,0.521877887,0.439219735
520.674243,0.378168767,0.51758167,0.443581045
520.7346831,0.372499077,0.516806736,0.434565332
520.7951197,0.384865246,0.540128588,0.450917286
520.8555529,0.415749517,0.592935639,0.485469254
520.9159826,0.451362384,0.640175527,0.528065717
520.9764089,0.477386137,0.661162408,0.554198973
521.0368318,0.477556378,0.66389606,0.562945316
521.0972512,0.466211514,0.653159581,0.550559955
521.1576672,0.463915916,0.645456617,0.540374366
521.2180797,0.464782588,0.647234277,0.544639191
521.2784888,0.451909432,0.638778971,0.529186226
521.3388945,0.447690728,0.628576308,0.526131978
521.3992967,0.441202799,0.60711026,0.513560971
521.4596955,0.436572622,0.605644168,0.510839469
521.5200908,0.432499931,0.597137313,0.502242794
521.5804827,0.428418836,0.593757473,0.498581838
521.6408711,0.425637049,0.597222483,0.495703187
521.7012561,0.416457098,0.588190557,0.486870148
521.7616377,0.404418037,0.569994141,0.472601096
521.8220158,0.407937275,0.561076359,0.473122098
521.8823905,0.404195085,0.557633906,0.469276542
521.9427618,0.396303775,0.538068015,0.459892669
522.0031296,0.387559989,0.535415595,0.453124691
522.063494,0.387189493,0.543411334,0.452183684
522.1238549,0.385656952,0.535467021,0.445236498
522.1842124,0.380952954,0.531916424,0.442450868
522.2445664,0.384555178,0.541495075,0.449849079
522.304917,0.402654758,0.568720317,0.470705077
522.3652642,0.444711209,0.635384771,0.519718173
522.4256079,0.47528982,0.672307621,0.561400057
522.4859482,0.486819891,0.681608861,0.568081909
522.5462851,0.488771211,0.66584925,0.561294593
522.6066185,0.483570337,0.66815701,0.559488093
522.6669484,0.474781467,0.6528789,0.54341004
522.7272749,0.467252685,0.648114214,0.540016508
522.787598,0.458932557,0.644447184,0.537309811
522.8479177,0.463109523,0.649352735,0.542532075
522.9082339,0.446543045,0.629837977,0.524008074
522.9685466,0.43902098,0.617325461,0.511017134
523.0288559,0.43710135,0.613032638,0.506990983
523.0891618,0.431910144,0.603396799,0.50269465
523.1494643,0.413691262,0.574105656,0.482077363
523.2097633,0.393799762,0.547604007,0.46008679
523.2700588,0.403839023,0.571392944,0.473636259
523.3303509,0.404283212,0.566578325,0.473416147
523.3906396,0.401736236,0.556519461,0.46800819
523.4509248,0.389367379,0.543244325,0.45824859
523.5112066,0.379796299,0.532420539,0.446881033
523.571485,0.373525562,0.520450285,0.433533843
523.6317599,0.368832861,0.519779142,0.42921822
523.6920314,0.367108955,0.518516768,0.431577645
523.7522994,0.37234601,0.519707861,0.433578562
523.812564,0.385665131,0.542052559,0.449323887
523.8728251,0.413394658,0.584006088,0.492457537
523.9330829,0.457145397,0.664106716,0.545231131
523.9933371,0.486836821,0.694126975,0.579320765
524.053588,0.501018349,0.702563196,0.591923137
524.1138353,0.493740452,0.699866971,0.582903443
524.1740793,0.493189608,0.691949459,0.575454092
524.2343198,0.482608784,0.680114031,0.565409378
524.2945569,0.470204867,0.65991425,0.552935034
524.3547905,0.466406564,0.65236946,0.54795195
524.4150207,0.450472132,0.635634874,0.534015682
524.4752474,0.442213848,0.619044704,0.5181174
524.5354707,0.443014777,0.625052499,0.520108862
524.5956906,0.437921789,0.622608062,0.513452296
524.655907,0.434902844,0.614056319,0.509199536
524.71612,0.433022114,0.609837219,0.50820217
524.7763295,0.422070977,0.595099709,0.497865878
524.8365356,0.417410751,0.579857593,0.48686542
524.8967383,0.417995171,0.582651873,0.484545481
524.9569375,0.409205515,0.564959269,0.478222946
525.0171333,0.396830934,0.554012806,0.466473588
525.0773256,0.388420645,0.537907323,0.450620739
525.1375145,0.382680424,0.53453699,0.445740649
525.1977,0.379805554,0.531348255,0.443169817
525.257882,0.3762121,0.523358196,0.435420396
525.3180606,0.372474072,0.523211009,0.43415579
525.3782357,0.376069019,0.531746563,0.438644259
525.4384074,0.385946062,0.548781658,0.450543605
525.4985757,0.414452013,0.602979975,0.485254448
525.5587405,0.451553037,0.667071427,0.535270828
525.6189019,0.486758885,0.698809219,0.576140972
525.6790598,0.495096179,0.693740968,0.577548678
525.7392143,0.495967938,0.710400759,0.586790032
525.7993654,0.489226915,0.681688268,0.568938851
525.859513,0.486144364,0.681436653,0.562159508
525.9196571,0.478174574,0.666151784,0.551685088
525.9797979,0.472072827,0.664570809,0.552362247
526.0399352,0.451545076,0.629898719,0.528690517
526.100069,0.436094003,0.621466757,0.521588976
526.1601994,0.441224872,0.622913855,0.518474012
526.2203264,0.434538569,0.604774911,0.50783113
526.2804499,0.426833816,0.593697643,0.497614434
526.34057,0.426960126,0.601065073,0.502120088
526.4006866,0.418668438,0.590640943,0.490432248
526.4607999,0.410687414,0.577377574,0.48505303
526.5209096,0.405749632,0.567781256,0.475827096
526.5810159,0.399792723,0.56616058,0.46412037
526.6411188,0.398537482,0.553438263,0.462833664
526.7012183,0.395211674,0.546126794,0.460207846
526.7613143,0.389635754,0.549076164,0.459769611
526.8214068,0.392260042,0.551039097,0.463731063
526.881496,0.380702201,0.528631901,0.445110158
526.9415816,0.374318782,0.515305089,0.436620512
527.0016639,0.369630179,0.519738547,0.432658973
527.0617427,0.367130955,0.518416478,0.430358506
527.121818,0.37442568,0.525906462,0.437467827
527.18189,0.402113732,0.577224398,0.476697254
527.2419584,0.450973649,0.64604584,0.536350658
527.3020235,0.496877252,0.694238876,0.583991488
527.3620851,0.503439062,0.703846518,0.591957797
527.4221432,0.510134825,0.714809994,0.598841017
527.4821979,0.499070884,0.696303843,0.583317475
527.5422492,0.485848599,0.680509206,0.571205637
527.6022971,0.481503192,0.68049534,0.571285919
527.6623414,0.47804569,0.673417471,0.566208909
527.7223824,0.463604488,0.654189598,0.544979535
527.7824199,0.457023408,0.642037543,0.533698018
527.842454,0.44248501,0.618506135,0.519032667
527.9024846,0.432730327,0.605509371,0.507834149
527.9625118,0.428337261,0.595409682,0.500344753
528.0225356,0.417443635,0.590692488,0.490735225
528.0825559,0.410175269,0.580673214,0.484324764
528.1425727,0.410814041,0.573085721,0.477280843
528.2025862,0.40665994,0.565096586,0.472469532
528.2625962,0.394095938,0.543925172,0.457423496
528.3226027,0.382457424,0.526017888,0.440729583
528.3826058,0.384318159,0.542850196,0.452487471
528.4426055,0.385010683,0.545604724,0.453283753
528.5026017,0.38297914,0.538302407,0.449456206
528.5625945,0.375310102,0.524059285,0.440870845
528.6225838,0.376753943,0.527453199,0.440523897
528.6825697,0.374937214,0.518469719,0.440288088
528.7425522,0.373450209,0.517095454,0.434640729
528.8025312,0.367657614,0.514624523,0.425336439
528.8625068,0.377021183,0.536288445,0.440146967
528.922479,0.397846001,0.573487553,0.471413339
528.9824477,0.444252144,0.646847722,0.535577417
529.0424129,0.497171326,0.710559918,0.59061361
529.1023747,0.513378813,0.723064099,0.606433638
529.1623331,0.509415749,0.716562277,0.601783119
529.2222881,0.491007554,0.686107595,0.578016247
529.2822396,0.481931705,0.666945293,0.565562283
529.3421876,0.470133571,0.648238822,0.552911584
529.4021322,0.462177484,0.647702169,0.544360183
529.4620734,0.457362581,0.642704565,0.535878125
529.5220111,0.450377378,0.635648724,0.530563167
529.5819454,0.441451419,0.623836366,0.518639128
529.6418763,0.433569464,0.602742884,0.508816063
529.7018037,0.429577558,0.589496056,0.504080984
529.7617277,0.42335797,0.585141674,0.495258856
529.8216482,0.414219319,0.571723264,0.482059381
529.8815653,0.41713327,0.575798788,0.485062113
529.941479,0.415205829,0.571995928,0.47807711
530.0013892,0.400900155,0.550446879,0.464363754
530.061296,0.397415738,0.539387288,0.457694704
530.1211993,0.390009481,0.529902555,0.448305805
530.1810992,0.383959059,0.520850713,0.439868235
530.2409956,0.381226448,0.51943576,0.439954446
530.3008886,0.378463875,0.519121656,0.439612131
530.3607782,0.374050765,0.517870023,0.436193802
530.4206643,0.365859297,0.50461082,0.426609701
530.480547,0.36281286,0.493829252,0.41540908
530.5404263,0.360110787,0.501747364,0.421881583
530.6003021,0.361139589,0.507782476,0.425057201
530.6601744,0.358458052,0.513942411,0.425477477
530.7200434,0.36426668,0.529315975,0.435372433
530.7799088,0.405689558,0.587652863,0.47848146
530.8397709,0.45653205,0.66022098,0.540007821
530.8996295,0.475517797,0.678807559,0.561740519
530.9594846,0.496627887,0.7059226,0.584963523
531.0193364,0.491054817,0.688525077,0.5783248
531.0791847,0.48281802,0.67612546,0.569709342
531.1390295,0.469525111,0.670623058,0.55752095
531.1988709,0.461867181,0.662181555,0.54777337
531.2587089,0.463634221,0.659380932,0.547005191
531.3185434,0.453618668,0.631740436,0.534532789
531.3783745,0.439066895,0.606610142,0.512969013
531.4382021,0.425178407,0.579599948,0.494275279
531.4980263,0.4232775,0.584179053,0.491310761
531.557847,0.4181213,0.579055247,0.483123739
